Family,Total,Women,Men,Women Children,Men Children,Servants
Antonio Durán,4,2,2,1,1,
Alonso Moriñigo,3,1,2,0,1,
Antonio de Dios,7,3,4,2,3,
Alonso Cabo,5,1,4,0,2,1
Alonso Mulas,5,3,2,2,1,
Alonso Serrano,2,1,1,0,0,
Alonso García,3,2,1,1,0,
Andrés Mendo,4,2,2,1,1,
Andrés del Rey,4,1,3,0,2,
Antonio Noreña,3,1,2,0,1,
Alonso Mendo Palomino,4,3,1,2,0,
Antonio Prieto,2,1,1,0,0,
Alonso Moriñigo,2,1,1,0,0,
Alonso Villoria,1,0,1,0,0,
Alonso Sánchez,2,1,1,0,0,
Alonso Sordos,4,3,1,2,0,
Alonso Bellido,3,1,2,0,1,
Antonio Durán González,2,1,1,0,0,
András Cabo,1,0,1,0,0,
Alonso García González,5,2,3,1,2,
Agustín del Hoyo,3,2,1,1,0,
Agustín Mendo,4,1,3,1,2,
Alonso Mendo Hernández,3,1,1,0,1,
Alonso Moriñigo González,3,1,1,0,0,1
Alonso Sánchez,8,1,2,0,1,5
András Velasco,8,4,4,3,3,
Antonio Bellido García,2,1,1,0,0,
Agustín Sánchez,3,1,2,0,0,
Andrés Díez,7,3,4,2,2,1
Alonso Bellido García,4,1,3,1,1,
Antonio García,6,3,3,2,2,
Antonia del Pozo,3,1,2,0,1,1
Ángela Moriñigo,1,1,0,0,0,
Ana Cabo,2,2,0,1,0,
Ana del Pozo,3,2,1,1,1,
Ana Delgado,1,1,0,0,0,
Ana Mendo,4,4,0,3,0,
Ana de Moriñigo,3,3,0,2,0,
Agustina de los Ríos,4,2,2,1,2,
Ana García,4,2,2,1,2,
Bernardo del Hoyo,5,2,3,1,2,
Bernardo Mulas,3,2,1,1,0,
Bernarda Serrano,1,1,0,0,0,
Beatriz Bellido,4,3,1,2,1,
Cristóbal Villoria,5,4,1,3,0,
Catalina Polo,2,2,0,1,0,
Catalina Blanco,3,2,1,1,1,
Diego Pinto,7,1,6,0,2,3
Diego Pinto,1,0,1,0,0,
Diego Villoria,4,2,2,1,1,
Domingo Cabo,3,2,1,1,0,
Diego Sánchez,5,4,1,3,0,
Diego Alonso,6,4,2,3,1,
Domingo del Pozo,5,0,5,0,1,3
Domingo Barriga,3,2,1,2,0,
Esteban García Bellido,2,0,2,0,1,
Esteban García García,4,2,2,1,1,
Esteban Moriñigo,4,1,3,0,2,
Esteban García González,3,2,1,1,0,
Francisco González,5,3,2,2,1,
Francisco Morñigo,4,3,1,3,0,
Francisco Hernández Moriñigo,5,1,4,0,3,
Francisco Mateos,2,1,1,0,0,
Francisco Bellido Sordos,6,4,2,3,1,
Francisco Martín Recio,5,2,3,2,2,
Fernando Villoria,3,2,1,1,0,
Francisco Villoria García,5,2,3,1,2,
Fausto Ramos,3,1,2,0,1,
Francisco Sánchez,5,3,2,2,1,
Francisco Villoria,2,0,2,0,1,
Francisco Serrano Juanes,9,3,6,2,3,2
Francisco Juanes,5,3,2,2,1,
Francisco Chamorro,5,2,3,2,2,
Hermenegildo del Pozo,6,1,5,0,3,1
Ignacio Nieto,3,2,1,1,0,
Isidro del Pozo,4,1,3,0,2,
Isabel Bellido,4,1,3,0,0,3
Isabel Sánchez,5,3,2,2,2,
Isabel Bellido del Pozo,1,1,0,0,0,
Ignacia Villoria,3,3,0,2,0,
Juan Antonio Herrero,4,3,1,2,0,
Juan García,7,3,4,2,3,
Juan Prieto,4,2,2,1,1,
Juan Sánchez,3,2,1,1,0,
José Villoria,2,1,1,0,0,
José Sánchez,4,2,2,1,1,
José Cordovilla,2,1,1,0,0,
José del Pozo,2,1,1,1,0,
José Pinto,1,0,1,0,0,
José Collado,1,1,1,0,0,
Juan del Rey,2,1,1,0,0,
Juan Sánchez Moriñigo,3,1,2,0,1,
Juan del Pozo Hernández,4,2,2,1,1,
Juan Bellido,7,4,3,3,2,
Juan Alonso Sánchez,2,1,1,0,0,
Juan Durán,2,0,2,0,1,
José Rodríguez,4,2,2,1,1,
Juan Mendo,4,2,2,1,1,
José Esteban,5,2,3,1,2,
José Juanes,5,2,3,1,2,
Juan Pinto,7,1,6,0,0,5
Juan de Sordos,4,2,2,1,1,
Josefa Bellido,4,3,1,2,1,
Lorenzo López,3,1,2,0,1,
Luis Serrano,4,2,2,1,1,
Lorenzo Villoria,2,1,1,0,0,
Lorenzo Herrero,4,1,3,0,2,
Miguel de Moriñigo,4,2,2,1,1,
Manuel de Arapiles,3,2,1,1,0,
Miguel García,5,3,2,2,1,
Manuel Chamorro,6,5,1,4,0,
Manuel Rodríguez,2,1,1,1,0,
Miguel López,5,1,4,1,3,
Miguel Prieto,3,2,1,1,0,
Manuel Arroyo,2,1,1,0,0,
Manuel García Sordos,2,1,1,0,0,
Manuel Alonso Sordos,2,1,1,0,0,
Miguel Bellido,3,1,2,0,1,
Manuel García García,3,2,1,1,0,
Matías Criado,5,4,1,3,0,
Manuel Mendo,5,1,4,0,1,2
Martín Pinto,4,1,3,0,2,
Marcos Bellido,4,2,2,1,1,
Manuel Alonso Sánchez,6,1,5,0,4,
Miguel Polo,3,2,1,1,0,
Manuel García Serrano,3,2,1,1,0,
Manuel Velasco,3,1,2,1,1,
Martín Moriñigo Sánchez,6,4,2,3,1,
Manuel del Pozo Moriñigo,3,2,1,2,0,
Manuel Blanco,3,1,2,1,1,
Marcos Villoria,3,1,2,0,1,
Manuel Sánchez,4,2,2,1,1,
Manuela Moriñigo,1,1,0,0,0,
María García,1,1,0,0,0,
María García,3,3,0,2,0,
María de Moriñigo,1,1,0,0,0,
María Moriñigo,3,2,1,1,1,
María Rodríguez,2,1,0,0,1,
Manuela Prieto,2,2,0,1,0,
Magdalena del Pozo,2,2,0,0,0,
Pedro Prieto Bellido,4,2,2,1,1,
Pedro López,3,1,2,0,1,
Pedro García González,3,2,1,1,0,
Pedro Sánchez Galindo,3,1,2,0,1,
Felipe Hernández,3,1,2,0,1,
Pedro del Pozo García,5,1,4,0,3,
Pedro Velasco,7,3,4,2,3,
Pedro de Sordos Moriñigo,3,1,2,1,1,
Pedro de Sordos,3,2,1,1,0,
Pedro Alonso Pinto,5,3,2,2,1,
Pedro Pinto,6,1,5,0,3,1
Pedro del Pozo Sánchez,3,1,2,0,1,
Pedro Sordos Bellido,3,2,1,1,0,
Pedro Barriga,7,3,4,2,3,
Pedro Bellido García,6,1,5,0,4,
Pedro Domínguez,6,3,3,2,2,
Felipe Juanes,3,1,2,0,1,
Felipe Cabo,3,1,2,0,0,1
Pedro García Moriñigo,8,3,5,2,1,3
Pedro de Dios,5,3,2,2,1,
Roque Prieto,5,3,2,2,1,
Santiago García,1,0,1,0,0,
Simón Rodríguez,8,3,5,2,2,2
Sebastiana Chamorro,2,1,1,0,1,
Tomás Ramos,3,1,2,0,1,
Tadeo del Pozo,3,2,1,1,0,
Teresa Bellido,2,2,0,1,0,
Teresa Hernández,1,1,0,0,0,
